ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
1;44;4;28;1;0;755;303;513;1;0;2;1;1;2;5;0;0;6.08;0;8.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.97;0;6.97;0;0;0;0;2.3;0;0.2;0;0;0;0;0;0;2.72;0;1.36;0;0;0;0;0;0;1;0;1;0;0;0;0
2;44;5;150;0;0.33;810;311;27;0;1;3;2;3;5;4;12.4;12.4;10.68;11.7;23.32;0;0;0;0;0;0;0;0;0;0;0;0;3.6;3.6;5.77;6;5.77;0;0;0;0;0.4;1.3;0.5;0;0;0;0;2.89;0.44;2.04;0.44;0.68;0;0;0;0;1;1;1;1;1;0;0;0;0
3;40;3;28;1;0;745;304;113;1;0;0;1;0;2;4;0;0;0;6.2;5.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.88;5.52;0;0;0;0;0;3.2;0.1;0;0;0;0;0;0;0;0.85;1.36;0;0;0;0;0;0;0;1;1;0;0;0;0
4;50;3;17.5;1;0;750;506;113;1;0;0;1;0;3;5;0;0;7.77;6.2;6.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.37;7.68;5.88;0;0;0;0;2.3;3.2;0.1;0;0;0;0;0;0;2.72;0.85;1.36;0;0;0;0;0;0;1;1;1;0;0;0;0
5;44;7;150;1;0.5;800;712;27;1;2;3;2;4;5;4;14.62;14.62;11.77;12.8;25.65;0;0;0;0;0;0;0;0;0;0;0;0;3.6;3.6;7.8;14.77;7.8;0;0;0;0;0.4;1.3;0.5;0;0;0;0;2.72;0.51;2.04;0.44;0.68;0;0;0;0;1;1;1;1;1;0;0;0;0
6;50;3;17.5;1;0;750;506;113;1;0;0;1;0;3;5;0;0;7.77;6.2;6.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.37;7.68;5.88;0;0;0;0;2.3;3.2;0.1;0;0;0;0;0;0;2.72;0.85;1.36;0;0;0;0;0;0;1;1;1;0;0;0;0
7;45;3;28;1;0;750;319;511;1;0;1;1;0;3;5;0;0;11.7;0;16.68;0;0;12.18;0;0;0;0;0;3.68;8.5;0;0;0;0;13.43;0;13.43;0;0;10.57;0;2.3;0;0.2;0;0;5.5;0;0;0;2.72;0;1.36;0;0;2.21;0;0;0;1;0;1;0;0;1;0
8;44;6;140;1;0.75;825;322;702;1;3;4;1;4;8;6;19.17;19.17;16.17;0;31.58;19.18;31.57;17.73;21.47;6.38;12.8;18.77;12.8;4.93;12.8;8.67;12.8;3.6;3.6;6.23;0;6.23;3.6;3.6;7.68;7.68;1;0;0.4;1.3;1.3;2.3;1.6;3.5;0.71;1.36;0;0.34;4.32;0.48;2.48;1.19;1;1;1;0;1;1;1;1;1
9;44;2;60;0;1;800;502;27;1;1;0;1;1;4;1;9.58;9.58;9.77;0;20.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.32;0;1.32;0;0;0;0;0.5;0;0.6;0;0;0;0;0.41;0.2;1.7;0;0.34;0;0;0;0;1;1;1;0;1;0;0;0;0
10;44;2;60;0;1;800;502;27;1;1;0;1;1;4;1;9.58;9.58;9.77;0;20.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.32;0;1.32;0;0;0;0;0.5;0;0.6;0;0;0;0;0.41;0.2;1.7;0;0.34;0;0;0;0;1;1;1;0;1;0;0;0;0
